
1.385969, 1.393352, 1.439505, 1.463106
1.398411, 1.395973, 1.455994, 1.473654
1.379608, 1.388877, 1.445060, 1.458089
1.385047, 1.395260, 1.430209, 1.449305
8.805456, 9.791560, 8.305730, 9.297067
1.391773, 1.466909, 131.556662, 255.929887
1.379712, 1.387026, 1.422390, 1.431964
1.372876, 1.397239, 1.426717, 1.445109
1.365358, 1.386025, 1.424072, 1.440522
1.368796, 1.399003, 1.430019, 1.444342
1.363224, 1.394281, 1.420791, 1.432090
1.374342, 1.392514, 1.423010, 1.431544
1.360438, 1.391900, 1.421642, 1.433041
1.375511, 1.391850, 1.421199, 1.431078
1.374007, 1.391336, 1.424843, 1.423395
1.372975, 1.390934, 1.421013, 1.422115
