5.370641, 5.397875, 5.383176, 5.393609, 5.375082, 5.378451, 5.380674, 5.397143, 5.401429, 5.401029, 5.371308, 5.422859, 5.424454, 5.430247, 6.162900, 7.331939
3.012313, 3.018004, 3.017881, 3.020720, 3.018853, 3.024773, 3.031207, 3.031779, 3.033641, 3.034296, 3.035816, 3.040265, 3.042572, 3.051246, 3.272724, 5.657235
0.424883, 0.449272, 0.438114, 0.432148, 0.447240, 0.442026, 0.452228, 0.440793, 0.439138, 0.454872, 0.461042, 0.451600, 0.452196, 0.463386, 0.471765, 0.475996
0.407754, 0.430201, 0.433187, 0.433825, 0.439644, 0.435991, 0.444321, 0.444069, 0.441219, 0.446448, 0.448301, 0.452305, 0.451221, 0.457190, 0.463736, 0.466901
0.418799, 0.417409, 0.430976, 0.424336, 0.431806, 0.433264, 0.431574, 0.444903, 0.448387, 0.450106, 0.452531, 0.454213, 0.455986, 0.458219, 0.464243, 0.468489
0.419009, 0.422420, 0.427439, 0.429571, 0.435298, 0.428944, 0.440985, 0.443717, 0.444578, 0.446585, 0.449379, 0.441422, 0.455473, 0.455599, 0.463867, 0.467806
0.427555, 0.431041, 0.428520, 0.430641, 0.433609, 0.438620, 0.439775, 0.444186, 0.444979, 0.446606, 0.446259, 0.451527, 0.453809, 0.456138, 0.464048, 0.469223
0.426033, 0.431990, 0.437819, 0.440288, 0.439399, 0.436592, 0.448720, 0.451296, 0.452113, 0.455284, 0.453736, 0.460856, 0.451783, 0.463293, 0.472512, 0.476806
0.423535, 0.429455, 0.429739, 0.429652, 0.432043, 0.434304, 0.437702, 0.442814, 0.444013, 0.444624, 0.443980, 0.450739, 0.448076, 0.454894, 0.463771, 0.465371
0.425782, 0.423694, 0.438947, 0.439107, 0.440111, 0.436754, 0.449034, 0.453118, 0.454503, 0.456084, 0.456432, 0.451014, 0.461922, 0.463880, 0.473963, 0.477428
0.426024, 0.428484, 0.437376, 0.438555, 0.437183, 0.435492, 0.447001, 0.450866, 0.452026, 0.455145, 0.452957, 0.445207, 0.460288, 0.463018, 0.471364, 0.476177
0.422271, 0.426548, 0.430066, 0.430664, 0.431653, 0.435014, 0.439648, 0.442322, 0.444272, 0.444674, 0.444942, 0.448505, 0.451206, 0.453996, 0.463178, 0.467160
0.429295, 0.439246, 0.430899, 0.440584, 0.442259, 0.445408, 0.448749, 0.450368, 0.452001, 0.455446, 0.448560, 0.450536, 0.461446, 0.464284, 0.472781, 0.476401
0.412828, 0.420126, 0.427403, 0.430222, 0.432177, 0.441858, 0.445312, 0.446077, 0.447641, 0.448543, 0.453834, 0.449853, 0.456901, 0.461189, 0.464614, 0.468562
0.402924, 0.408049, 0.429137, 0.432244, 0.438801, 0.441882, 0.443044, 0.444337, 0.442122, 0.448470, 0.446741, 0.450449, 0.450350, 0.453479, 0.461753, 0.465113
0.423830, 0.429744, 0.430486, 0.431806, 0.430127, 0.435095, 0.441491, 0.445812, 0.446378, 0.448957, 0.448741, 0.451449, 0.454002, 0.457707, 0.464902, 0.468334
