year	fund	eafe
1982	5.27	-1.86
1983	43.08	23.69
1984	-1.02	7.38
1985	56.94	56.16
1986	56.71	69.44
1987	12.48	24.63
1988	11.61	28.27
1989	24.76	10.54
1990	-12.05	-23.45
1991	4.74	12.13
1992	-5.79	-12.17
1993	44.74	32.56
1994	0.76	7.78
1995	14.89	11.21
1996	14.65	6.05
1997	4.12	1.78
1998	16.93	20.00
1999	26.34	26.96
2000	-8.60	-14.17
2001	-18.92	-21.44
2002	-17.79	-15.94
2003	34.45	38.59
2004	18.95	20.25
2005	15.00	13.54
