yr2002	yr2003
-17.1	23.9
-6.7	14.1
-21.1	41.8
-12.8	43.9
-18.9	31.1
-7.7	32.3
-17.2	36.5
-11.4	30.6
-0.7	36.9
-5.6	27.5
-26.9	26.1
-42.0	62.7
-47.8	68.1
-50.5	71.9
-49.5	57.0
-23.4	35.0
-37.8	59.4
-11.5	22.9
-0.7	7.6
64.3	32.1
-9.6	28.7
-11.7	29.5
-2.3	19.1
