treat	strength
None	60.1
None	56.7
None	61.5
None	55.1
None	59.4
P55	29.9
P55	30.7
P55	30.0
P55	29.5
P55	27.6
P48	24.8
P48	24.6
P48	27.3
P48	28.1
P48	30.3
HY	28.8
HY	23.9
HY	27.0
HY	22.1
HY	24.2
