name	salary
Ramirez	19806820
Schilling	14500000
Damon	8250000
Renteria	8000000
Varitek	8000000
Nixon	7500000
Foulke	7500000
Clement	6500000
Ortiz	5250000
Wakefield	4670000
Wells	4075000
Payton	3500000
Millar	3500000
Embree	3000000
Timlin	2750000
Bellhorn	2750000
Mueller	2500000
Arroyo	1850000
Mirabelli	1500000
Miller	1500000
Halama	850000
Mantei	750000
Vazquez	700000
Myers	600000
Youkilis	323125
Stern	316000
