distress	brain
1.26	-0.055
1.85	-0.040
1.10	-0.026
2.50	-0.017
2.17	-0.017
2.67	0.017
2.01	0.021
2.18	0.025
2.58	0.027
2.75	0.033
2.75	0.064
3.33	0.077
3.65	0.124
