snow	wind
6.6	0.125
5.9	0.160
6.8	0.158
7.7	0.155
7.9	0.169
7.8	0.173
8.1	0.196
16.6	0.111
18.2	0.106
15.2	0.143
16.2	0.153
17.1	0.155
17.3	0.133
18.1	0.130
26.6	0.062
27.1	0.051
27.5	0.068
28.4	0.055
28.6	0.033
29.6	0.029
29.4	0.024
