sector	return
C	23.9
C	14.1
C	41.8
C	43.9
C	31.1
F	32.3
F	36.5
F	30.6
F	36.9
F	27.5
T	26.1
T	62.7
T	68.1
T	71.9
T	57.0
T	35.0
T	59.4
N	22.9
N	7.6
N	32.1
N	28.7
N	29.5
N	19.1
