fabric	color
cotton	48.82
cotton	48.88
cotton	48.98
cotton	49.04
cotton	48.68
cotton	49.34
cotton	48.75
cotton	49.12
ramie	41.72
ramie	41.83
ramie	42.05
ramie	41.44
ramie	41.27
ramie	42.27
ramie	41.12
ramie	41.49
