year	tuition
1976	2059
1977	2049
1978	1968
1979	1862
1980	1818
1981	1892
1982	2058
1983	2210
1984	2274
1985	2373
1986	2490
1987	2511
1988	2551
1989	2617
1990	2791
1991	2987
1992	3208
1993	3396
1994	3523
1995	3564
1996	3668
1997	3768
1998	3869
1999	3894
2000	3925
2001	4140
2002	4408
2003	4890
2004	5239
2005	5491
