year	return
1972	15.070
1973	-21.522
1974	-34.540
1975	28.353
1976	18.177
1977	-12.992
1978	-2.264
1979	4.682
1980	17.797
1981	-12.710
1982	17.033
1983	18.075
1984	2.253
1985	26.896
1986	17.390
1987	0.783
1988	11.677
1989	25.821
1990	-8.679
1991	26.594
1992	4.584
1993	7.127
1994	-1.316
1995	34.167
1996	19.008
1997	31.138
1998	26.534
1999	17.881
2000	-12.082
2001	-13.230
2002	-23.909
2003	26.311
2004	7.370
