temp	lat
6.26	57.20
6.26	57.96
6.27	57.65
6.31	57.59
6.34	58.01
6.32	59.06
6.37	56.85
6.39	56.87
6.42	57.43
6.52	57.72
6.68	57.83
6.76	57.87
6.78	57.48
6.89	58.13
6.90	58.52
6.93	58.48
6.98	57.89
7.02	58.71
7.09	58.07
7.13	58.49
7.15	58.28
7.29	58.49
7.34	58.01
7.57	58.57
7.65	58.90
