inf	seeds	pct
135	2450	5.5
101	2504	4.0
76	2114	3.6
24	1110	2.2
121	2137	5.7
189	8015	2.4
31	1623	1.9
44	1531	2.9
73	2008	3.6
12	1716	0.7
27	721	3.7
40	863	4.6
41	1136	3.6
79	2819	2.8
82	1911	4.3
85	2101	4.0
42	1051	4.0
0	218	0.0
64	1711	3.7
7	164	4.3
156	2228	7.0
31	363	8.5
240	5973	4.0
91	1050	8.7
137	1961	7.0
92	1809	5.1
5	130	3.8
23	880	2.6
