
2.144089, 1.793240, 2.821176, 4.254247, 6.029115, 8.253924, 9.630583, 11.168765
1.473747, 2.025610, 4.592445, 5.580392, 5.596560, 8.069507, 8.657223, 9.676742
1.464333, 2.022846, 2.785363, 4.247756, 5.918851, 8.414558, 9.682176, 10.898728
1.476673, 1.986879, 2.768630, 4.224004, 5.899660, 8.377454, 9.536348, 11.106664
1.765887, 2.056977, 4.483031, 5.521204, 5.545333, 8.069806, 8.097376, 9.503919
1.480149, 1.996656, 4.485342, 5.553709, 5.587592, 7.952170, 8.390490, 9.533328
0.526354, 1.937246, 2.137659, 2.759995, 7.943907, 9.481845, 10.017373, 11.038088
0.581405, 2.134160, 2.229751, 5.799028, 7.777739, 7.746531, 9.507753, 10.007870
2.162942, 0.531708, 2.241484, 2.739897, 7.652258, 9.488214, 9.991449, 11.007506
1.502721, 2.061308, 2.822265, 4.005658, 6.124362, 8.438619, 9.574604, 10.994241
0.572058, 2.168353, 2.927355, 3.213936, 6.587100, 9.512702, 9.978224, 10.860892
0.615780, 2.162913, 1.697578, 2.984209, 8.377504, 9.632467, 10.020939, 10.926418
2.204698, 0.632587, 2.374557, 3.079599, 7.597705, 9.585925, 10.065121, 10.827054
0.576286, 2.036692, 1.520256, 3.021684, 8.483748, 9.626926, 9.975479, 10.731293
1.994902, 1.921540, 4.531955, 5.603576, 5.629824, 7.991312, 7.954644, 9.620171
1.456470, 2.000620, 2.621854, 4.313445, 5.738284, 8.442559, 9.513116, 11.030420
